INDICATIVO;AÑO;MES;ALTITUD;C_X;C_Y;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31
8003A;2023;7;661;694493;4285275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;19;0;0;0;0;0;0;0;0;0;0;0
8004;2023;7;628;693798;4279058;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8005C;2023;7;670;692803;4294180;0;0;0;0;0;-3;0;0;0;0;0;0;0;0;0;-3;0;0;12;10;0;6;0;0;0;-3;0;0;0;0;0
8005D;2023;7;622;691463;4294672;0;0;0;0;0;-3;0;0;0;0;0;0;0;0;0;-3;0;0;8;6;0;4;0;0;0;4;0;0;0;0;0
8005X;2023;7;622;691463;4294672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;2;0;0;0;0;0;0;0;0;0
8006I;2023;7;533;681084;4284959;0;0;0;0;0;-3;0;0;0;0;0;0;0;0;0;0;0;0;34;51;0;0;0;0;0;0;-3;0;0;0;0
8007E;2023;7;520;685853;4278437;0;0;0;0;0;-3;0;0;0;0;0;0;0;0;0;0;0;0;12;-3;0;0;0;0;0;0;0;0;0;0;0
8008A;2023;7;486;685931;4271992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8008Y;2023;7;486;685931;4271992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8009F;2023;7;369;689460;4256838;0;0;0;0;0;-3;0;0;0;0;0;0;0;0;0;0;0;0;0;55;-3;0;-3;0;0;0;0;0;0;0;0
8010A;2023;7;526;695364;4261452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
8011A;2023;7;410;692687;4261881;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8013;2023;7;245;695094;4250618;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;0;0;0;42;-3;0;0;0;0;0;-3;0;0;0;0
8013B;2023;7;230;695835;4251099;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;0;0;0;35;-3;0;0;0;0;0;-3;0;0;0;0
8013X;2023;7;230;695835;4251099;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0
8014O;2023;7;578;678903;4252679;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0;0
8015A;2023;7;367;687396;4242324;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0
8017;2023;7;258;694674;4245889;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0
